No,Tahun,Tanggal/Bulan,Laporan,Lampiran,Keterangan
1,2024,30-Oktober,2024-10_KAS RUKEM,https://drive.google.com/file/d/135h8m38BiWq-nlbcj_wLiRKgEnfQYZUb/view?usp=sharing,OK
2,2024,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
